Food_Name,peanut,almond,eggs,milk,whey,butter,cheese,paneer,curd,ghee,oats,bread,roti,lobster,squid,mussels
Gajar ka halwa,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Gulab jamun,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Jalebi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kaju katli,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kalakand,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Kheer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Laddu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lassi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rabri,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cham cham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyangcha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malapua,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mihidana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Misti doi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pantua,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pithe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ras malai,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rasgulla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandesh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maach Jhol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloo gobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloo tikki,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bhatura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhindi masala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biryani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butter chicken,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chana masala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken razala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Tikka,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chole bhature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daal puri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dal makhani ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dum aloo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kachori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadai paneer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Karela bharta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khichdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kofta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kulfi falooda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litti chokha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mushroom do pyaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Palak paneer,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Paneer tikka masala,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pani puri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paratha,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rajma chaval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rongi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetable jalfrezi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tandoori Chicken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sambar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahi vada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhokla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dudhi halwa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jeera Aloo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koshimbir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pav Bhaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabudana Khichadi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thepla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churma Ladoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheera Doi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Luchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alu Pitika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black rice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bora Sawul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chingri malai curry,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Goja,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chingri Bhape,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kabiraji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koldil Chicken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konir Dom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koldil Duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishti Chholar Dal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Payokh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Prawn malai curry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Red Rice,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shukto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Til Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloo Posto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Posto Bora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beguni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macher Jhol (Rui/Katla),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shorshe Ilish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosha Mangsho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dim Bhuna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pui Shaak Chingri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potoler Dolma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echorer Dalna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muri Ghonto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patishapta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puli Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narkel Naru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chingri Machher Malaikari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kalia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Moong Dal Bhaja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish Fry (Bengali Style),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potol Bhaja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimer Devil,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Chicken Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chowmein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fried Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilli Chicken Style,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandwich,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
French Fries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sausage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garlic Bread,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Momos Fried,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Momos Steamed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Lollipop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drums of Heaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Popcorn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Grilled Sandwich,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Potato Chips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Popcorn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cup Noodles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cream Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swiss Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Bar,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ice Cream Cup,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frozen Dessert,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Soft Drink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy Drink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tea Biscuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornflakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oats Cereal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bhujia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cake,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Omelette,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghugni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Cake,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Upma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
